Name,Country,Type,Latitude,Longitude,Elevation
Erebus,Antarctica,Stratovolcano,-77.5,167.2,3794
Copahue,Argentina,Stratovolcano,-37.85,-71.17,2965
Ojos del Salado,Argentina-Chile,Stratovolcano,-27.12,-68.55,6887
Undara,Australia,Shield,-18.25,144.75,1020
McDonald Islands,Australia,Complex,-53.03,72.6,230
Newer Volcanics Province,Australia,Shield,-37.77,142.5,1011
Heard,Australia,Stratovolcano,-53.1,73.5,2745
Parinacota,Bolivia-Chile,Stratovolcano,-18.17,-69.15,6348
Oku Volcanic Field,Cameroon,Stratovolcano,6.25,10.5,3011
Cameroon (Mount),Cameroon,Stratovolcano,4.2,9.17,4095
Fogo,Cape Verde Islands,Stratovolcano,14.95,-24.35,2829
San Vicente,Cape Verde Islands,Stratovolcano,16.9,-25,697
Tarso Voon,Chad,Stratovolcano,20.92,17.28,3100
Azufre,Chile,Complex,-21.79,-68.24,5846
Parinacota,Bolivia-Chile,Stratovolcano,-18.17,-69.15,6348
Acamarachi,Chile,Stratovolcano,-23.3,-67.62,6046
Aguilera,Chile,Stratovolcano,-50.33,-73.75,2546
Arintica,Chile,Complex,-18.73,-69.05,5597
Guallatiri,Chile,Stratovolcano,-18.42,-69.09,6071
Villarrica,Chile,Stratovolcano,-39.42,-71.93,2847
Sollipulli,Chile,Caldera,-38.97,-71.52,2282
Ojos del Salado,Argentina-Chile,Stratovolcano,-27.12,-68.55,6887
Láscar,Chile,Stratovolcano,-23.37,-67.73,5592
Ruiz, Colombia,Stratovolcano,4.89,-75.32,5321
Galeras,Colombia,Stratovolcano,1.22,-77.37,4276
Purace,Colombia,Stratovolcano,2.32,-76.4,4650
Karthala,Comoros,Shield,-11.75,43.38,2361
Visoke,Congo-Rwanda,Stratovolcano,-1.47,29.49,3711
Karisimbi,Congo-Rwanda,Stratovolcano,-1.51,29.45,4507
Irazu,Costa Rica,Stratovolcano,9.98,83.85,3431
Rincon de la Vieja,Costa Rica,Complex,10.83,-85.32,1916
Arenal,Costa Rica,Stratovolcano,10.46,-84.7,1670
Poas,Costa Rica,Stratovolcano,10.2,-84.23,2708
Nyamuragira,Democratic Republic of Congo,Shield,-1.41,29.2,3058
Nyiragongo,Democratic Republic of Congo,Stratovolcano,-1.52,29.25,3470
Cotopaxi,Ecuador,Stratovolcano,-0.68,-78.44,5911
Antisana,Ecuador,Stratovolcano,-0.48,-78.14,5753
Guagua Pichincha,Ecuador,-0.17,-78.6,4784
Mojanda,Ecuador,Stratovolcano,0.13,-78.27,4263
Tungurahua,Ecuador,Stratovolcano,-1.47,-78.44,2011
Reventador,Ecuador,Stratovolcano,-0.08,-77.66,3562
Sangay,Ecuador,Stratovolcano,-2,-78.34,5230
Cayambe,Ecuador,Stratovolcano,0.03,-77.99,5790
Iliniza,Ecuador,Stratovolcano,-0.66,-78.71,5248
Chimborazo,Ecuador,Stratovolcano,-1.46,-78.82,6310
Sumaco,Ecuador,Stratovolcano,-0.54,-77.63,3990
Fernandina,Ecuador,Caldera,-0.37,-91.55,1476
San Salvador,El Salvador,Stratovolcano,13.73,-89.29,1893
Ilopango,El Salvador,Caldera,13.67,-89.05,450
Coatepeque,El Salvador,Caldera,13.86,-89.54,746
Santa Ana,El Salvador,Stratovolcano,13.85,-89.63,2381
Izalco,El Salvador,Stratovolcano,13.81,-89.63,1950
Dubbi,Eritrea,Stratovolcano,13.6,41.8,1625
Alid,Eritrea,Stratovolcano,14.88,39.92,904
Ayelu,Ethiopia,Stratovolcano,10.08,40.7,2145
Kone,Ethiopia,Caldera,8.8,39.69,1619
Erta Ale,Ethiopia,Shield,13.6,40.7,613
